Date,Open,High,Low,Close,Volume
17-Feb-17,135.10,135.83,135.10,135.72,22084491
16-Feb-17,135.67,135.90,134.84,135.34,22584555
15-Feb-17,135.52,136.27,134.62,135.51,35623100
14-Feb-17,133.47,135.09,133.25,135.02,33226223
13-Feb-17,133.08,133.82,132.75,133.29,23035421
10-Feb-17,132.46,132.94,132.05,132.12,20065458
9-Feb-17,131.65,132.44,131.12,132.42,28349859
8-Feb-17,131.35,132.22,131.22,132.04,23004072
7-Feb-17,130.54,132.09,130.45,131.53,38183841
6-Feb-17,129.13,130.50,128.90,130.29,26845924
3-Feb-17,128.31,129.19,128.16,129.08,24507301
2-Feb-17,127.98,129.39,127.78,128.53,33710411
1-Feb-17,127.03,130.49,127.01,128.75,111985040
31-Jan-17,121.15,121.39,120.62,121.35,49200993
30-Jan-17,120.93,121.63,120.66,121.63,30377503
27-Jan-17,122.14,122.35,121.60,121.95,20562944
26-Jan-17,121.67,122.44,121.60,121.94,26337576
25-Jan-17,120.42,122.10,120.28,121.88,32586673
24-Jan-17,119.55,120.10,119.50,119.97,23211038
23-Jan-17,120.00,120.81,119.77,120.08,22050218
20-Jan-17,120.45,120.45,119.73,120.00,32597892
19-Jan-17,119.40,120.09,119.37,119.78,25597291
18-Jan-17,120.00,120.50,119.71,119.99,23712961
17-Jan-17,118.34,120.24,118.22,120.00,34439843
